,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,age
0,4,4,2,2,0,4,3,4,1,1,3,4,0,11,11,18
1,1,1,1,2,0,5,3,3,1,1,3,2,9,11,11,17
2,1,1,1,2,0,4,3,2,2,3,3,6,12,13,12,15
3,4,2,1,3,0,3,2,2,1,1,5,0,14,14,14,15
4,3,3,1,2,0,4,3,2,1,2,5,0,11,13,13,16
5,4,3,1,2,0,5,4,2,1,2,5,6,12,12,13,16
6,2,2,1,2,0,4,4,4,1,1,3,0,13,12,13,16
7,4,4,2,2,0,4,1,4,1,1,1,2,10,13,13,17
8,3,2,1,2,0,4,2,2,1,1,1,0,15,16,17,15
9,3,4,1,2,0,5,5,1,1,1,5,0,12,12,13,15
10,4,4,1,2,0,3,3,3,1,2,2,2,14,14,14,15
11,2,1,3,3,0,5,2,2,1,1,4,0,10,12,13,15
12,4,4,1,1,0,4,3,3,1,3,5,0,12,13,12,15
13,4,3,2,2,0,5,4,3,1,2,3,0,12,12,13,15
14,2,2,1,3,0,4,5,2,1,1,3,0,14,14,15,15
15,4,4,1,1,0,4,4,4,1,2,2,6,17,17,17,16
16,4,4,1,3,0,3,2,3,1,2,2,10,13,13,14,16
17,3,3,3,2,0,5,3,2,1,1,4,2,13,14,14,16
18,3,2,1,1,3,5,5,5,2,4,5,2,8,8,7,17
19,4,3,1,1,0,3,1,3,1,3,5,6,12,12,12,16
20,4,3,1,2,0,4,4,1,1,1,1,0,12,13,14,15
21,4,4,1,1,0,5,4,2,1,1,5,0,11,12,12,15
22,4,2,1,2,0,4,5,1,1,3,5,0,12,13,14,16
23,2,2,2,2,0,5,4,4,2,4,5,2,10,10,10,16
24,2,4,1,3,0,4,3,2,1,1,5,2,10,11,10,15
25,2,2,1,1,0,1,2,2,1,3,5,6,10,11,12,16
26,2,2,1,1,0,4,2,2,1,2,5,8,11,12,12,15
27,4,2,1,1,0,2,2,4,2,4,1,0,11,11,11,15
28,3,4,1,2,0,5,3,3,1,1,5,2,12,12,13,16
29,4,4,1,2,0,4,4,5,5,5,5,4,12,11,12,16
30,4,4,1,2,0,5,4,2,3,4,5,0,10,11,11,15
31,4,4,2,2,0,4,3,1,1,1,5,2,15,15,15,15
32,4,3,1,2,0,4,5,2,1,1,5,0,13,14,15,15
33,3,3,1,2,0,5,3,2,1,1,2,0,13,12,12,15
34,3,2,1,1,0,5,4,3,1,1,5,4,12,12,12,16
35,2,3,2,1,0,3,5,1,1,1,5,4,11,11,11,15
36,4,3,1,3,0,5,4,3,1,1,4,0,14,14,14,15
37,4,4,2,3,0,2,4,3,1,1,5,4,13,13,13,16
38,3,4,1,3,0,4,3,2,1,1,5,2,11,12,12,15
39,2,2,1,1,0,4,3,1,1,1,2,8,14,13,12,15
40,2,2,2,2,0,3,3,3,1,2,3,16,11,11,10,16
41,4,4,1,1,0,5,4,3,2,4,5,8,10,11,11,15
42,4,4,1,2,0,4,3,3,1,1,5,0,14,15,15,15
43,2,2,1,1,0,5,4,1,1,1,1,0,9,10,10,15
44,2,2,2,2,1,4,3,3,2,2,5,14,10,11,11,16
