,Hour (Coded),Immobilized bus,Broken Truck,Vehicle excess,Accident victim,Running over,Fire vehicles,Occurrence involving freight,Incident involving dangerous freight,Lack of electricity,Fire,Point of flooding,Manifestations,Defect in the network of trolleybuses,Tree on the road,Semaphore off,Intermittent Semaphore,Slowness in traffic (%)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
11,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
13,14,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
14,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
20,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
24,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
25,26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11
26,27,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
