,Hour (Coded),Immobilized bus,Vehicle excess,Accident victim,Running over,Fire vehicles,Occurrence involving freight,Incident involving dangerous freight,Lack of electricity,Fire,Point of flooding,Manifestations,Defect in the network of trolleybuses,Tree on the road,Semaphore off,Intermittent Semaphore,Slowness in traffic (%),Broken Truck
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
13,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2
14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
24,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,1
25,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0
26,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1
27,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0
28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
31,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1
32,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1
34,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
35,9,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,8,0
36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
37,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
39,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1
40,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2
41,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0
42,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
43,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,1
44,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,5
45,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,4
46,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1
47,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
48,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
49,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
50,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,3
51,25,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16,1
52,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,4
53,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
56,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1
57,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1
58,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,1
59,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4
60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2
61,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1
62,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2
63,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1
64,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
65,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0
66,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1
67,14,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,6,2
68,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
69,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
70,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1
71,18,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,4
72,19,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12,1
73,20,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,13,2
74,21,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,15,1
75,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0
76,23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0
77,24,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,20,1
78,25,1,0,2,0,0,0,0,4,0,1,0,0,0,4,0,22,3
79,26,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,23,0
80,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
81,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,0
82,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0
83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
87,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0
88,8,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6,0
89,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
90,10,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,7,2
91,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1
92,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
93,13,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,10,2
94,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3
95,15,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,11,2
96,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,3
97,17,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12,1
98,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1
99,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1
100,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,1
101,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
102,22,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,1
103,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
104,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
105,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
106,26,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,21,0
107,27,0,0,1,0,0,0,0,1,0,7,0,2,0,1,0,22,3
108,1,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,3,0
109,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0
110,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
111,4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,6,1
112,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,8,2
113,6,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,9,2
114,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3
115,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,2
116,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2
117,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
118,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2
119,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
120,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,1
121,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1
122,15,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,10,2
123,16,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,0
124,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1
125,18,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,0
126,19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0
127,20,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0
128,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
129,22,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17,1
130,23,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,17,0
131,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0
132,25,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0
133,26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17,4
134,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
