,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,age
0,4,4,2,2,0,4,3,4,1,1,3,6,5,6,6,18
1,1,1,1,2,0,5,3,3,1,1,3,4,5,5,6,17
2,1,1,1,2,3,4,3,2,2,3,3,10,7,8,10,15
3,4,2,1,3,0,3,2,2,1,1,5,2,15,14,15,15
4,3,3,1,2,0,4,3,2,1,2,5,4,6,10,10,16
5,4,3,1,2,0,5,4,2,1,2,5,10,15,15,15,16
6,2,2,1,2,0,4,4,4,1,1,3,0,12,12,11,16
7,4,4,2,2,0,4,1,4,1,1,1,6,6,5,6,17
8,3,2,1,2,0,4,2,2,1,1,1,0,16,18,19,15
9,3,4,1,2,0,5,5,1,1,1,5,0,14,15,15,15
10,4,4,1,2,0,3,3,3,1,2,2,0,10,8,9,15
11,2,1,3,3,0,5,2,2,1,1,4,4,10,12,12,15
12,4,4,1,1,0,4,3,3,1,3,5,2,14,14,14,15
13,4,3,2,2,0,5,4,3,1,2,3,2,10,10,11,15
14,2,2,1,3,0,4,5,2,1,1,3,0,14,16,16,15
15,4,4,1,1,0,4,4,4,1,2,2,4,14,14,14,16
16,4,4,1,3,0,3,2,3,1,2,2,6,13,14,14,16
17,3,3,3,2,0,5,3,2,1,1,4,4,8,10,10,16
18,3,2,1,1,3,5,5,5,2,4,5,16,6,5,5,17
19,4,3,1,1,0,3,1,3,1,3,5,4,8,10,10,16
20,4,3,1,2,0,4,4,1,1,1,1,0,13,14,15,15
21,4,4,1,1,0,5,4,2,1,1,5,0,12,15,15,15
22,4,2,1,2,0,4,5,1,1,3,5,2,15,15,16,16
23,2,2,2,2,0,5,4,4,2,4,5,0,13,13,12,16
24,2,4,1,3,0,4,3,2,1,1,5,2,10,9,8,15
25,2,2,1,1,2,1,2,2,1,3,5,14,6,9,8,16
26,2,2,1,1,0,4,2,2,1,2,5,2,12,12,11,15
27,4,2,1,1,0,2,2,4,2,4,1,4,15,16,15,15
28,3,4,1,2,0,5,3,3,1,1,5,4,11,11,11,16
29,4,4,1,2,0,4,4,5,5,5,5,16,10,12,11,16
30,4,4,1,2,0,5,4,2,3,4,5,0,9,11,12,15
31,4,4,2,2,0,4,3,1,1,1,5,0,17,16,17,15
32,4,3,1,2,0,4,5,2,1,1,5,0,17,16,16,15
33,3,3,1,2,0,5,3,2,1,1,2,0,8,10,12,15
34,3,2,1,1,0,5,4,3,1,1,5,0,12,14,15,16
35,2,3,2,1,0,3,5,1,1,1,5,0,8,7,6,15
36,4,3,1,3,0,5,4,3,1,1,4,2,15,16,18,15
37,4,4,2,3,0,2,4,3,1,1,5,7,15,16,15,16
38,3,4,1,3,0,4,3,2,1,1,5,2,12,12,11,15
39,2,2,1,1,0,4,3,1,1,1,2,8,14,13,13,15
40,2,2,2,2,1,3,3,3,1,2,3,25,7,10,11,16
41,4,4,1,1,0,5,4,3,2,4,5,8,12,12,12,15
42,4,4,1,2,0,4,3,3,1,1,5,2,19,18,18,15
43,2,2,1,1,0,5,4,1,1,1,1,0,8,8,11,15
44,2,2,2,2,1,4,3,3,2,2,5,14,10,10,9,16
45,4,3,1,2,0,5,2,2,1,1,5,8,8,8,6,15
46,3,3,1,2,0,2,3,5,1,4,3,12,11,12,11,16
47,4,3,1,4,0,4,2,2,1,1,2,4,19,19,20,16
48,4,2,1,2,0,4,3,3,2,2,5,2,15,15,14,15
49,4,4,1,2,1,4,4,4,1,1,3,2,7,7,7,15
50,2,2,3,2,0,4,3,3,2,3,4,2,12,13,13,16
51,4,2,1,2,0,4,3,3,1,1,5,2,11,13,13,15
52,4,2,2,1,1,5,5,5,3,4,5,6,11,11,10,15
53,4,4,1,1,0,3,3,4,2,3,5,0,8,10,11,15
54,3,3,1,1,0,5,3,4,4,4,1,6,10,13,13,15
55,2,1,1,2,0,5,3,4,1,1,2,8,8,9,10,16
56,4,3,1,2,0,4,3,2,1,1,1,0,14,15,15,15
57,4,4,1,2,0,3,2,2,1,1,5,4,14,15,15,15
58,1,2,1,2,0,4,3,2,1,1,5,2,9,10,9,15
59,4,2,1,2,0,4,2,3,1,1,5,2,15,16,16,16
60,4,4,1,2,0,2,4,4,2,3,4,6,10,11,11,16
61,1,1,4,1,0,5,5,5,5,5,5,6,10,8,11,16
62,1,2,1,2,0,4,4,3,1,1,1,4,8,10,9,16
63,4,3,1,3,0,3,4,4,2,4,4,2,10,9,9,16
64,4,3,1,2,0,4,4,4,2,4,2,0,10,10,10,15
65,4,3,3,2,0,5,4,3,1,2,1,2,16,15,15,16
66,4,4,1,4,0,1,3,3,5,5,3,4,13,13,12,15
67,3,1,1,4,0,4,3,3,1,2,5,4,7,7,6,16
68,2,2,2,2,0,4,1,3,1,3,4,2,8,9,8,15
69,3,1,2,4,0,4,4,2,2,3,3,12,16,16,16,15
70,3,1,2,4,0,4,3,2,1,1,5,0,13,15,15,16
71,4,2,1,4,0,3,3,3,1,1,3,0,10,10,10,15
72,1,1,1,2,2,3,3,4,2,4,5,2,8,6,5,15
73,3,1,1,1,0,5,3,2,2,2,5,2,12,12,14,16
74,3,3,1,2,0,4,3,3,2,4,5,54,11,12,11,16
75,4,3,1,2,0,4,3,3,2,3,5,6,9,9,10,15
76,4,0,2,4,0,3,4,3,1,1,1,8,11,11,10,15
77,2,2,1,4,0,5,2,3,1,3,3,0,11,11,11,16
78,2,1,2,1,3,4,5,1,1,1,3,2,8,8,10,17
79,3,4,1,2,0,2,4,3,1,2,3,12,5,5,5,16
80,2,3,1,1,0,3,2,2,1,3,3,2,10,12,12,15
81,2,3,1,3,0,5,3,2,1,2,5,4,11,10,11,15
82,3,2,1,2,0,4,4,4,1,1,5,10,7,6,6,15
83,2,2,2,2,0,5,3,3,1,3,4,4,15,15,15,15
84,1,1,1,2,0,4,3,2,2,3,4,2,9,10,10,15
85,4,4,2,2,2,4,4,4,2,3,5,6,7,9,8,15
86,2,2,1,2,0,4,3,4,1,2,2,4,8,7,6,16
87,4,2,1,3,0,5,3,3,1,3,1,4,13,14,14,15
88,2,2,2,2,1,4,4,2,1,1,3,12,11,10,10,16
89,4,4,1,2,0,4,1,3,3,5,5,18,8,6,7,16
90,3,3,1,3,0,4,3,3,1,3,4,0,7,7,8,16
91,4,3,1,1,0,4,5,5,1,3,1,4,16,17,18,15
92,3,1,1,2,0,3,3,3,2,3,2,4,7,6,6,16
93,4,2,2,2,0,5,3,3,1,1,1,0,11,10,10,16
94,2,2,1,4,0,4,3,4,1,1,4,6,11,13,14,15
95,1,1,2,4,1,3,1,2,1,1,1,2,7,10,10,15
96,4,3,2,1,0,3,3,3,1,1,4,2,11,15,15,16
97,2,1,1,2,0,4,3,5,1,1,5,2,8,9,10,16
98,4,4,1,1,0,5,3,4,1,2,1,6,11,14,14,16
99,4,3,1,3,0,5,3,5,1,1,3,0,7,9,8,16
100,4,4,1,1,0,4,5,5,5,5,4,14,7,7,5,16
